title,abstract,source
Associations between DNA methylation and cognitive function in early-stage hormone receptor-positive breast cancer patients,"BackgroundApproximately one-third of breast cancer (BC) patients show poorer cognitive function (CF) before receiving adjuvant therapy compared with age-matched healthy controls. However, the biological mechanisms driving CF variation in the context of BC remain unclear. In this study, we aimed to identify genes and biological pathways associated with CF in postmenopausal women with early-stage hormone receptor-positive (HR+) BC using DNA methylation (DNAm) data, a dynamic regulator of gene activity.  MethodsEpigenome-wide association studies (EWAS) and differentially methylated region analyses were performed for each CF phenotype (seven objective domains and one subjective phenotype) using DNAm data from whole blood samples (n=109) taken at time of enrollment. Post-EWAS functional analyses were performed to enhance the understanding of the CF-related cytosine-phosphate-guanine (CpG) sites.  ResultsWhen adjusting for age, verbal IQ scores, and global DNAm signature, cg10331779 near CTNND2 (p-value= 9.65 x 10-9) and cg25906741 in MLIP (p-value= 2.01 x 10-8) were associated with processing speed and subjective CF, respectively, while regions in/near SLC6A11, PRKG1/CSTF2T, and FAM3B for processing speed, and regions in/near PI4KB and SGCE/PEG10 for mental flexibility were differentially methylated. In addition, beta-estradiol was identified as a common upstream regulator for all the CF phenotypes, suggesting an essential role of estrogen in explaining variation in CF of HR+ BC patients.  ConclusionsIn our EWAS of 8 CF phenotypes, we found two epigenome-wide significant signals, one at cg10331779 near CTNND2 with processing speed and the other at cg25906741 in MLIP with subjective CF. We also found three differentially methylated regions associated with processing speed and two associated with mental flexibility. These findings need replication in larger cohorts",medrxiv
"The clinical, genomic, and transcriptomic landscape of BRAF mutant cancers","BackgroundBRAF mutations are classified into 4 molecularly distinct groups, and Class 1 (V600) mutant tumors are treated with targeted therapies. Effective treatment has not been established for Class 2/3 or BRAF Fusions. We investigated whether BRAF mutation class differed according to clinical, genomic, and transcriptomic variables in cancer patients.  MethodsUsing the AACR GENIE (v.12) cancer database, the distribution of BRAF mutation class in adult cancer patients was analyzed according to sex, age, primary race, and tumor type. Genomic alteration data and transcriptomic analysis was performed using The Cancer Genome Atlas.  ResultsBRAF mutations were identified in 9515 (6.2%) samples among 153,834, with melanoma (31%), CRC (20.7%), and NSCLC (13.9%) being the most frequent cancer types. Class 1 harbored co-mutations outside of the MAPK pathway (TERT, RFN43) vs Class 2/3 mutations (RAS, NF1). Across all tumour types, Class 2/3 were enriched for alterations in genes involved in UV response and WNT/{beta}-catenin. Pathway analysis revealed enrichment of WNT/{beta}-catenin and Hedgehog signaling in non-V600 mutated CRC. Males had a higher proportion of Class 3 mutations vs. females (17.4% vs 12.3% q = 0.003). Non-V600 mutations were generally more common in older patients (aged 60+) vs younger (38% vs 15% p<0.0001), except in CRC (15% vs 30% q = 0.0001). Black race was associated with non-V600 BRAF alterations (OR: 1.58; p<0.0001).  ConclusionsClass 2/3 BRAF are more present in Black, male patients with co-mutations outside of the MAPK pathway, likely requiring additional oncogenic input for tumorigenesis. Improving access to NGS and trial enrollment will help development of targeted therapies for non-V600 BRAF mutations.  Statement of Translational RelevanceBRAF mutations are classified in 4 categories based on molecular characteristics, but only Class 1 BRAF V600 have effective targeted treatment strategies. With increasing access to next-generation sequencing, oncologists are more frequently uncovering non-V600 BRAF mutations, where there remains a scarcity of effective therapies. Responsiveness to MAPK pathway inhibitors differs according to BRAF mutation class and primary tumor type. For this reason, we sought to determine whether key demographic, genomic, and transcriptomic differences existed between classes. This cross-sectional study analyzes the largest dataset of BRAF-mutated cancers to date. Our findings propose insights to optimize clinical trial design and patient selection in the pursuit of developing effective treatment strategies for patients whose tumors harbor non-V600 BRAF mutations. This study also offers insights into the potential of targeting alternative pathways in addition to the MAPK pathway as part of combinatorial treatment strategies",biorxiv
Conventional therapy induces tumor immunoediting and modulates the immune contexture in colorectal cancer,"BackgroundCancer immunotherapies for patients with colorectal cancer (CRC) continue to lag behind other solid cancer types with the exception of 4% of patients with microsatellite-instable tumors. Thus, there is an urgent need to broaden the clinical benefit of checkpoint blockers to CRC by combining conventional therapies to sensitise tumors to immunotherapy. However, the impact of conventional drugs on immunoediting, potentially promoting the positive selection of less immunogenic variants, and on the tumor immune contexture in CRC, remain elusive.  MethodsWe performed comprehensive multimodal profiling using longitudinal samples from metastatic CRC patients undergoing neoadjuvant therapy with mFOLFOX6 and Bevacizumab. Exome-sequencing, RNA-sequencing and multiplexed immunofluorescence imaging was carried out on tumor samples obtained before and after therapy and the data was analysed using established methods. The results of the analysis were extrapolated to publicly available datasets (TCGA and CPTAC). In order to identify a surrogate marker, an explainable artificial intelligence method was developed using a transformer-based analytical pipeline for the identification of features in Hematoxylin and Eosin (H&E) images associated with specific biological processes, followed by manual evaluation of highly informative tiles by a pathologist.  ResultsMutational profiles were highly modified and the level of genetic intertumoral heterogeneity between patients varied following treatment. Evolutionary analysis indicated eradication of some clones and dominant clonal prevalence of others, supporting the notion of pharmacologically-induced cancer immunoeditin. Post treatment samples showed upregulation of HLA class II genes, activation of differentiation and stemness pathways, and changes in the consensus molecular subtypes. The tumor immune contexture was characterised by increased densities of CD8+ and CD4+ T cells, but reduced T cell-tumor cell interactions (and increased T cell exhaustion. The AI-guided analyses of the H&E images pinpointed extracellular mucin deposits associated with stemness genes, suggesting a surrogate marker for routine pathological evaluation.  ConclusionsConventional therapy induces immunoediting and modulates the immune contexture in metastatic CRC patients",biorxiv
"Genetic ancestry superpopulations show distinct prevalence and outcomes across pediatric central nervous system tumors from the PBTA and PNOC
==========
Genetic ancestry superpopulations show distinct prevalence and outcomes across pediatric central nervous system tumors","BackgroundCentral nervous system (CNS) tumors lead to cancer-related mortality in children. Genetic ancestry-associated cancer prevalence and outcomes have been studied, but is limited.  MethodsWe performed genetic ancestry prediction in 1,454 pediatric patients with paired normal and tumor whole genome sequencing from the Open Pediatric Cancer (OpenPedCan) project to evaluate the influence of reported race and ethnicity and ancestry-based genetic superpopulations on tumor histology, molecular subtype, survival, and treatment.  ResultsPredicted superpopulations included African (AFR, N=153), Admixed American (AMR, N=223), East Asian (EAS, N=67), European (EUR, N=968), and South Asian (SAS, N=43). Reported race and ethnicity and ancestry-based genetic superpopulations were non-randomly associated. Patients with an atypical teratoid rhabdoid tumor or meningioma were enriched for AFR ancestry. Patients of AMR ancestry with KIAA1549::BRAF fusion-positive low-grade glioma (LGG) had tumors enriched for rare fusion breakpoints, lesser extent of surgical resection, and worse event-free survival (EFS). Non-EUR and AMR patients with germ cell tumors or SHH- activated medulloblastoma exhibited worse EFS relative to EUR patients, and patients of AFR ancestry with LGG or ependymoma had worse overall survival compared to EUR patients. We observed higher frequency of clinical trial enrollment among AMR patients across tumor histologies, but increased utilization of photon versus proton radiation relative to other superpopulations.  ConclusionsGenetic ancestry-associated differences exist across pediatric CNS tumor histological and molecular subtypes. Further investigation into genetic and socioeconomic factors contributing to these observed inequities is needed.  Key PointsDistinct associations of genetic ancestry-based superpopulations exist within pediatric CNS tumor histologic and molecular subtypes and correlate with survival outcomes and treatment.  Importance of the StudyThis work provides critical insight on the impact of reported race and ethnicity and genetic-based ancestry superpopulations on nearly 1,500 pediatric patients with CNS tumors who had matched normal and tumor sequencing performed. We identify novel associations between ancestry superpopulations and tumor histology, molecular subtypes, and treatments received. Here, we begin to inform on the contributions of social constructs of race and ethnicity and tumor characteristics that are enriched among genetic-based ancestry superpopulations on clinical outcomes of pediatric patients with CNS tumors. Our findings indicate that potential social and genetic risk stratifications exist for pediatric CNS tumors and warrant further investigation to ensure equitable clinical outcomes for all patients",medrxiv
"Copy number variation analysis of 9,482 Mycobacterium tuberculosis isolates identifies lineage-specific molecular determinants","BackgroundClinical manifestations of tuberculosis (TB) caused by Mycobacterium tuberculosis (Mtb) show lineage-specific differences contributed by genetic polymorphism such as phylo-single nucleotide variations (PhyloSNPs) and insertion or deletions (INDELs). Intragenomic rearrangement events, such as gene duplications and deletions, may cause gene copy number differences in Mtb, contributing to lineage-specific phenotypic variations, if any, which need better understanding.  ResultsThe relative gene copy number differences in high-quality publicly available whole genome sequencing datasets of 9,482 clinical Mtb isolates were determined by repurposing and modifying an RNA-seq data analysis pipeline. The pipeline included various steps, viz., alignment of reads, sorting by coordinate, GC bias correction, and variant stabilising transformation. The strategy showed maximum separation of lineage-specific clusters in two principal components, capturing [~]54% variability. Unsupervised hierarchical clustering of the top 100 genes and pairwise comparisons between Mtb lineages revealed an overlapping subset of genes (n=42) having significantly perturbed copy numbers (Benjamin Hochberg adjusted P-value < 0.05 and log2(drug-resistant/sensitive) > {+/-} 1). These 42 genes formed multiple tandem gene clusters and are known to be involved in virulence, pathogenicity and defence response to invading phages. A separate comparison showed a significantly high copy number of phage genes and a recently reported druggable target Rv1525 in pre- and extensively drug-resistant (Pre-XDR, XDR) compared to drug-sensitive clinical Mtb isolates.  ConclusionThe identified gene sets in Mtb clinical isolates may be useful targets for lineage-specific therapeutics and diagnostics development",biorxiv
Fine-tuned large language models for answering questions about full-text biomedical research studies,"BackgroundFew studies have explored the degree to which fine-tuning a large-language model (LLM) can improve its ability to answer a specific set of questions about a research study.  MethodsWe created an instruction set comprising 250 marked-down studies of HIV drug resistance, 16 questions per study, answers to each question, and explanations for each answer. The questions were broadly relevant to studies of pathogenic human viruses including whether a study reported viral genetic sequences and the demographics and antiviral treatments of the persons from whom sequences were obtained. We fine-tuned GPT-4o-mini (GPT-4o), Llama3.1-8B-Instruct (Llama3.1-8B), and Llama3.1-70B-Instruct (Llama3.1-70B) using a quantized low rank adapter (QLoRA). We assessed the accuracy, precision, and recall of each base and fine-tuned model in answering the same questions on a test set comprising 120 different studies. Paired t-tests and Wilcoxon signed-rank tests were used to compare base models to one another, fine-tuned models to their respective base model, and the fine-tuned models to one another.  ResultsPrior to fine-tuning, GPT-4o displayed significantly greater performance than both Llama3.1-70B and Llama3.1-8B due to its greater precision compared with Llama3.1-70B and greater precision and recall compared with Llama3.1-8B; there was no difference in performance between Llama3.1-70B and Llama3.1-8B. After fine-tuning, both GPT-4o and Llama3.1-70B, but not Llama3.1-8B, displayed significantly improved performance compared with their base models. The improved performance of GPT-4o resulted from a mean 6% increased precision and 9% increased recall; the improved performance of Llama3.1-70B resulted from a 15% increased precision. After fine-tuning, Llama3.1-70B significantly outperformed Llama3.1-8B but did not perform as well as the fine-tuned GPT-4o model which displayed superior recall.  ConclusionFine-tuning GPT-4o and Llama3.1-70B, but not the smaller Llama3.1-8B, led to marked improvement in answering specific questions about research papers. The process we describe will be useful to researchers studying other medical domains.  AUTHOR SUMMARYAddressing key biomedical questions often requires systematically reviewing data from numerous studies--a process that demands time and expertise. Large language models (LLMs) have shown potential in screening papers and summarizing their content. However, few research groups have fine-tuned these models to enhance their performance in specialized biomedical domains. In this study, we fine-tuned three LLMs to answer questions about studies on the subject of HIV drug resistance including one proprietary LLM (GPT-4o-mini) and two open-source LLMs (Llama3.1-Instruct-70B and Llama 3.1-Instruct-8B). To fine-tune the models, we used an instruction set comprising 250 studies of HIV drug resistance and selected 16 questions covering whether studies included viral genetic sequences, patient demographics, and antiviral treatments. We then tested the models on 120 independent research studies. Our results showed that fine-tuning GPT-4o-mini and Llama3.1-Instruct-70B significantly improved their ability to answer domain-specific questions, while the smaller Llama3.1-Instruct-8B model was not improved. The process we described offers a roadmap for researchers in other fields and represents a step in our attempt towards developing an LLM capable of answering questions about research studies across a range of pathogenic human viruses",medrxiv
Evaluating GPT-4-based ChatGPT's Clinical Potential on the NEJM Quiz,"BackgroundGPT-4-based ChatGPT demonstrates significant potential in various industries; however, its potential clinical applications remain largely unexplored.  MethodsWe employed the New England Journal of Medicine (NEJM) quiz ""Image Challenge"" from October 2021 to March 2023 to assess ChatGPTs clinical capabilities. The quiz, designed for healthcare professionals, tests the ability to analyze clinical scenarios and make appropriate decisions. We evaluated ChatGPTs performance on the NEJM quiz, analyzing its accuracy rate by questioning type and specialty after excluding quizzes which were impossible to answer without images. The NEJM quiz has five multiple-choice options, but ChatGPT was first asked to answer without choices, and then given the choices to answer afterwards, in order to evaluate the accuracy in both scenarios.  ResultsChatGPT achieved an 87% accuracy without choices and a 97% accuracy with choices, after excluding 16 image-based quizzes. Upon analyzing performance by quiz type, ChatGPT excelled in the Diagnosis category, attaining 89% accuracy without choices and 98% with choices. Although other categories featured fewer cases, ChatGPTs performance remained consistent. It demonstrated strong performance across the majority of medical specialties; however, Genetics had the lowest accuracy at 67%.  ConclusionChatGPT demonstrates potential for clinical application, suggesting its usefulness in supporting healthcare professionals and enhancing AI-driven healthcare",medrxiv
Alternative mRNA Splicing and Polyadenylation Events are Synchronous with Podocyte Injury and Slit Diaphragm Dysregulation in Glomerular Disease Models,"BackgroundGlomerular disease, often characterized by podocyte injury and proteinuria, can lead to chronic kidney disease and end stage kidney disease. We hypothesized that the glomerular pathophysiology is associated with alternative mRNA processing, such as alternative splicing (AS) and polyadenylation (APA), of glomerular genes and especially of critical podocyte, slit diaphragm and matrix genes that regulate the glomerular filtration barrier.  MethodsGlomerular damage, accompanied with proteinuria, hypoalbuminemia and hypercholesterolemia was induced by puromycin aminonucleoside (PAN) or adriamycin (ADR) to mimic human minimal change disease (MCD) or focal segmental glomerulosclerosis (FSGS), respectively. Glomerular RNA-seq analyses was performed followed by JunctionSeq and APATrap bioinformatics analyses to detect AS and APA events, respectively. Novel splice sites and poly(A) usage sites and differences in alternatively spliced and polyadenylated isoforms were queried in JunctionSeq and APATrap pipelines.  ResultsAltered glomerular mRNA processing by AS/APA was identified in 136/71 and 1875/746 genes in MCD and FSGS models, respectively. Transcript annotation and prioritization of significant AS and APA identified key events in genes with novel and established roles that cause disruption in the glomerular filtration barrier. These events localized in the regions of slit diaphragm (NPHS1, NPHS2, NEPH1, ZO1, ITM2B), glomerular basement membrane (COL4A3/4/5, LAMB2, LAMA5), podocyte mitochondria (COQ2), podocyte membrane (PODXL) and endothelial cells (INF2). Concomitantly, numerous polyadenylation and splicing factors which could serve as potential trans-factors that lead to AS and APA, were dysregulated in these two models of glomerular nephropathies. Additionally, beneficial proteinuria reducing treatment modalities, pioglitazone and GQ16 reversed many of these AS and APA events. Moreover, suggestive GWAS SNPs were identified in many of these genes from human nephrotic syndrome database, which could potentially serve as cis-factors that lead to AS and APA, and downstream functional effects.  ConclusionFindings from our studies shed light on a new landscape of research in glomerular pathophysiology, i.e., AS and APA of glomerular genes, many of which are crucial determinants of podocyte structure and function, slit diaphragm complex, and glomerular basement membrane. These findings present new implications for improved mechanistic understanding of glomerular disease and development of novel therapeutic intervention strategies.  Significance StatementRNA biology is complex, and while alternative mRNA processing events, such as alternative splicing (AS) and alternative polyadenylation (APA) have been shown to play important roles in physiology, development, and diseases like cancer; there is very limited knowledge of their roles in glomerular disease. Various forms of glomerular disease can unfortunately be frequently refractory to current immunosuppressive or anti-hypertensive treatments, leading to progression to chronic kidney disease and end stage kidney disease, ultimately requiring dialysis and transplant. In the current study, we identified alternative mRNA processing events of global glomerular mRNAs due to AS and APA during podocyte and glomerular injury, using two distinct animal models of glomerular disease, minimal change disease and focal segmental glomerulosclerosis. This is a newly recognized phenomenon, and it has potential implications not only for better molecular mechanistic understanding of the disease, but for identifying novel therapeutics",biorxiv
Integrating large scale genetic and clinical information to predict cases of heart failure,"BackgroundHeart failure (HF) is a major cause of death globally. Prediction of HF risk and early initiation of treatment could mitigate disease progression.  ObjectivesThe study aimed to improve the prediction accuracy of HF by integrating genome-wide association studies (GWAS)- and electronic health records (EHR)-derived risk scores.  MethodsWe previously performed the largest HF GWAS to date within the Global Biobank Meta-analysis Initiative to create a polygenic risk score (PRS). To extract clinical information from high-dimensional EHR data, we treated diagnosis codes as  words and leveraged natural language processing techniques to create a clinical risk score (ClinRS). Our method first learned code co-occurrence patterns and extracted 350 latent phenotypes (low-dimensional features) representing EHR codes, then used coefficients from regression of HF on the latent phenotypes in a training set as weights to calculate patient ClinRS in a validation set. Model performances were compared between baseline (age and sex) model and models with risk scores added: 1) PRS, 2) ClinRS, and 3) PRS+ClinRS. We further compared the proposed models with Atherosclerosis Risk in Communities (ARIC) heart failure risk score.  ResultsResults showed that PRS and ClinRS were each able to predict HF outcomes significantly better than the baseline model, up to eight years prior to HF diagnosis. By including both PRS and ClinRS in the model, we achieved superior performance in predicting HF up to ten years prior to HF diagnosis, two years earlier than using a single risk predictor alone. Additionally, we found that ClinRS performed significantly better than ARIC model at one year prior to disease diagnosis.  ConclusionsWe demonstrate the additive power of integrating GWAS- and EHR-derived risk scores to predict HF cases prior to diagnosis",medrxiv
ClinGen Hereditary Cardiovascular Disease Gene Curation Expert Panel: Reappraisal of Genes associated with Hypertrophic Cardiomyopathy,"BackgroundHypertrophic cardiomyopathy (HCM) is an inherited cardiac condition affecting [~]1 in 500 and exhibits marked genetic heterogeneity. Previously published in 2019, 57 HCM-associated genes were curated providing the first systematic evaluation of gene-disease validity. Here we report work by the ClinGen Hereditary Cardiovascular Disorders Gene Curation Expert Panel (HCVD-GCEP) to reappraise the clinical validity of previously curated and new putative HCM genes.  MethodsThe ClinGen systematic gene curation framework was used to re-classify the gene-disease relationships for HCM and related syndromic entities involving left ventricular hypertrophy. Genes previously curated were included if their classification was not definitive, and if the time since curation was >2-3 years. New genes with literature assertions for HCM were included for initial evaluation. Existing genes were curated for new inheritance patterns where evidence existed. Curations were presented on twice monthly calls, with the HCVD-GCEP composed of 29 individuals from 21 institutions across 6 countries.  ResultsThirty-one genes were re-curated and an additional 5 new potential HCM-associated genes were curated. Among the re-curated genes, 17 (55%) genes changed classification: 1 limited and 4 disputed (from no known disease relationship), 9 disputed (from limited), and 3 definitive (from moderate). Among these, 3 (10%) genes had a clinically relevant upgrade, including TNNC1, a 9th sarcomere gene with definitive HCM association. With new evidence, two genes were curated for multiple inheritance patterns (TRIM63, disputed for autosomal dominant but moderate for autosomal recessive; ALPK3, strong for autosomal dominant and definitive for recessive). CSRP3 was curated for a semi-dominant mode of inheritance (definitive). Nine (29%) genes were downgraded to disputed, further discouraging clinical reporting of variants in these genes. Five genes recently reported to cause HCM were curated: RPS6KB1 and RBM20 (limited), KLHL24 and MT-TI (moderate), and FHOD3 (definitive).  ConclusionsWe report 29 genes with definitive, strong or moderate evidence of causation for HCM or isolated LVH, including sarcomere, sarcomere-associated and syndromic conditions",medrxiv
Genetic Transformer: An Innovative Large Language Model Driven Approach for Rapid and Accurate Identification of Causative Variants in Rare Genetic Diseases,"BackgroundIdentifying causative variants is crucial for the diagnosis of rare genetic diseases. Over the past two decades, the application of genome sequencing technologies in the field has significantly improved diagnostic outcomes. However, the complexity of data analysis and interpretation continues to limit the efficiency and accuracy of these applications. Various genotype and phenotype-driven filtering and prioritization strategies are used to generate a candidate list of variants for expert curation, with the final report variants determined through knowledge-intensive and labor-intensive expert review. Despite these efforts, the current methods fall short of meeting the growing demand for accurate and efficient diagnosis of rare disease. Recent developments in large language models (LLMs) suggest that LLMs possess the potential to augment or even supplant human labor in this context.  MethodsIn this study, we have developed Genetic Transformer (GeneT), an innovative large language model (LLM) driven approach to accelerate identification of candidate causative variants for rare genetic disease. A comprehensive evaluation was conducted between the fine-tuned large language models and four phenotype-driven methods, including Xrare, Exomiser, PhenIX and PHIVE, alongside six pre-trained LLMs (Qwen1.5-0.5B, Qwen1.5-1.8B, Qwen1.5-4B, Mistral-7B, Meta-Llama-3-8B, Meta-Llama-3-70B). This evaluation focused on performance and hallucinations.  ResultsGenetic Transformer (GeneT) as an innovative LLM-driven approach demonstrated outstanding performance on identification of candidate causative variants, identified the average number of candidate causative variants reduced from an average of 418 to 8, achieving recall rate of 99% in synthetic datasets. Application in real-world clinical setting demonstrated the potential for a 20-fold increase in processing speed, reducing the time required to analyze each sample from approximately 60 minutes to around 3 minutes. Concurrently, the recall rate has improved from 94.36% to 97.85%. An online analysis platform iGeneT was developed to integrate GeneT into the workflow of rare genetic disease analysis.  ConclusionOur study represents the inaugural application of fine-tuned LLMs for identifying candidate causative variants, introducing GeneT as an innovative LLM-driven approach, demonstrating its superiority in both simulated data and real-world clinical setting. The study is unique in that it represents a paradigm shift in addressing the complexity of variant filtering and prioritization of whole exome or genome sequencing data, effectively resolving the challenge akin to finding a needle in a haystack",medrxiv
No Relationship between Male Pubertal Timing and Depression: New Insights from Epidemiology and Mendelian Randomization,"BackgroundIn males, the relationship between pubertal timing and depression is understudied and less consistent than in females, likely for reasons of unmeasured confounding. To clarify this relationship, a combined epidemiological and genetic approach was chosen to exploit the methodological advantages of both approaches.  MethodsData from 2,026 males from a nationwide study (KiGGS) were used to investigate the non-/linear relationship between pubertal timing defined by the age at voice break and major depressive disorder (MDD), considering a multitude of potential confounders and their interactions with pubertal timing. This analysis was complemented by Mendelian Randomization (MR), which is robust to inferential problems inherent to epidemiological studies. We used 71 single nucleotide polymorphisms related to pubertal timing in males as instrumental variable to clarify its causal relationship with MDD based on data from 807,553 individuals (246,363 cases and 561,190 controls) by univariable and multivariable MR, including BMI as pleiotropic phenotype.  ResultsUnivariable MR indicated a causal effect of pubertal timing on MDD risk (inverse-variance weighted: OR=0.93, 95%-CI [0.87-0.99)], p=.03). However, this was not confirmed by multivariable MR (inverse-variance weighted: OR=0.95, 95%-CI [0.88-1.02)], p=.13), consistent with the epidemiological approach (OR=1.01, 95%-CI [0.81-1.26], p=.93). Instead, the multivariable MR study indicated a causal relationship of BMI with MDD by two of three methods.  ConclusionsPubertal timing is not related to MDD risk in males. Considering the adverse health outcomes of higher BMI levels, our findings support the rationale for preventive measures to address obesity and its related risk factors",medrxiv
Knowledge Graph-based Thought: a knowledge graph enhanced LLMs framework for pan-cancer question answering,"BackgroundIn recent years, Large Language Models (LLMs) have shown promise in various domains, notably in biomedical sciences. However, their real-world application is often limited by issues like erroneous outputs and hallucinatory responses.  ResultsWe developed the Knowledge Graph-based Thought (KGT) framework, an innovative solution that integrates LLMs with Knowledge Graphs (KGs) to improve their initial responses by utilizing verifiable information from KGs, thus significantly reducing factual errors in reasoning. The KGT framework demonstrates strong adaptability and performs well across various open-source LLMs. Notably, KGT can facilitate the discovery of new uses for existing drugs through potential drug-cancer associations, and can assist in predicting resistance by analyzing relevant biomarkers and genetic mechanisms. To evaluate the Knowledge Graph Question Answering (KGQA) task within biomedicine, we utilize a pan-cancer knowledge graph to develop a pan-cancer question answering benchmark, named the Pan-cancer Question Answering (PcQA).  ConclusionsThe KGT framework substantially improves the accuracy and utility of LLMs in the biomedical field. This study serves as a proof-of-concept, demonstrating its exceptional performance in biomedical question answering.  Key PointsO_LIWe introduce a framework combining LLMs with KGs to improve factual accuracy in LLM reasoning. C_LIO_LIOur system is a flexible architecture that seamlessly integrates various LLMs. C_LIO_LIUtilizing a pan-cancer knowledge graph, we have proposed the first KGQA benchmark in the field of biomedicine. C_LIO_LICase studies reveal our method enhanced LLMs in addressing biomedical challenges such as drug repositioning, resistance research, individualized treatment, and biomarker analysis. C_LIO_LIThe method performs favorably in comparison to existing methods. C_LI",biorxiv
Post Stroke Motor Recovery Genome-Wide Association Study: A Domain-Specific Approach,"BackgroundIn this genome wide association study (GWAS) we aimed to discover single nucleotide polymorphisms (SNPs) associated with motor recovery post-stroke.  MethodsWe used the Vitamin Intervention for Stroke Prevention (VISP) dataset of 2,100 genotyped patients with non-disabling stroke. Of these, 488 patients had motor impairment at enrollment. Genotyped data underwent strict quality control and imputation. The GWAS utilized logistic regression models with generalized estimating equations (GEE) to leverage the repeated NIH Stroke Scale (NIHSS) motor score measurements spanning 6 time points over 24 months. The primary outcome was a decrease in the motor drift score of [&ge;] 1 vs. < 1 at each timepoint. Our model estimated the odds ratio of motor improvement for each SNP after adjusting for age, sex, race, days from stroke to visit, initial motor score, VISP treatment arm, and principal components.  ResultsAlthough no associations reached genome-wide significance (p < 5 x 10-8), our analysis detected 115 suggestive associations (p < 5 x 10-6). Notably, we found multiple SNP clusters near genes with plausible neuronal repair biology mechanisms. The CLDN23 gene had the most convincing association which affects blood-brain barrier integrity, neurodevelopment, and immune cell transmigration.  ConclusionWe identified novel suggestive genetic associations with the first ever motor-specific post stroke recovery GWAS. The results seem to describe a distinct stroke recovery phenotype compared to prior genetic stroke outcome studies that use outcome measures, like the mRS. Replication and further mechanistic investigation are warranted. Additionally, this study demonstrated a proof-of-principle approach to optimize statistical efficiency with longitudinal datasets for genetic discovery",medrxiv
Inflammatory Type Focal Cerebral Arteriopathy of the Posterior Circulation in Children: a comparative cohort study,"BackgroundInflammatory type Focal Cerebral Arteriopathy (FCA-i) in the anterior circulation (AC) is well characterized and the FCA severity score (FCASS) reflects the severity of disease. We identified cases of FCA-i in the posterior circulation (PC) and adapted the FCASS to describe these cases.  MethodsPatients from the Swiss NeuroPaediatric Stroke Registry (SNPSR) with ischemic stroke in the PC and AC due to FCA-i and available neuroimaging were gathered. Comparison of data regarding Pediatric National Institutes of Health Stroke Scale (pedNIHSS) score and Pediatric Stroke Outcome Measure (PSOM) and FCASS was performed. We estimated infarct size by the modified pediatric Alberta Stroke Program Early Computed Tomography Score (pedASPECTS) in children with AC stroke and the adapted Bernese posterior diffusion-weighted imaging (DWI) score in the PC.  ResultsThirty-six children with a median age of 6.3 years ([IQR 2.8,8.6; range 0.9,15.6], 21 males, 58.3%) with FCA-i were identified. The total incidence rate was 0.151/100 000/year (95%CI 0.109-0.209). Seven had PC FCA-i and 5 had FCA-i in both circulations. Time to final FCASS was longer in the PC compared to AC, evolution of FCASS did not differ. Initial pedNIHSS was highest in children with FCA-i in the PC with a median of 8.0 (IQR 5.0-18.0), compared to 4.5 (IQR 2.0-8.0) in those with AC FCA-i and 6.0 (IQR 6.0-6.0) with involvement of both AC and PC. Different to the anterior cases PC infarct volume did not correlate with higher discharge, maximum or final FCASS scores (R 0.25, 0.35, 0.54).  ConclusionThe PC is affected in up to one third of cases of FCA-i. These cases should be included in future investigations on FCA-i. Although it did not correlate with clinical outcome in our cohort, the modified FCASS may well serve as a marker for the evolution of the arteriopathy in posterior FCA-i",medrxiv
The role of Late Presenters on HIV-1 transmission clusters in Europe,"BackgroundInvestigating the role of late presenters (LP) on HIV-1 transmission is important, as they can contribute to the onward spread of HIV-1 virus in the long period before diagnosis, when they are not aware of their HIV status  ObjectiveTo describe the clinical and socio-demographic characteristics of HIV-1 infected individuals followed in Europe, to characterize patients in clusters and to compare transmission clusters (TC) in LP vs non-late presenters (NLP) populations.  MethodsClinical, socio-demographic and genotypic information from 38531 HIV-1 infected patients was collected from the EuResist Integrated Database (EIDB) between 1981 and 2019. Sequences were aligned using VIRULIGN. Maximum likelihood (ML) phylogenies were constructed using FastTree. Putative transmission clusters were identified using ClusterPicker v1.332. Statistical analyses were performed using R.  Results32652 (84{middle dot}7%) sequences were from subtype B, 3603 (9{middle dot}4%) were from subtype G, and 2276 (5{middle dot}9%) were from subtype A. The median age was 33 (IQR: 26{middle dot}0-41{middle dot}0) years old and 75{middle dot}5% of patients were males. The main transmission route was through homosexual (MSM) contact (36{middle dot}9%) and 86{middle dot}4% were originated from Western Europe. Most patients were native (84{middle dot}2%), 59{middle dot}6% had a chronic infection, and 73{middle dot}4% had acquired drug resistance (ADR). CD4 count and viral load at diagnosis (log10) presented a median of 341 cells/mm3, and of log10 4{middle dot}3 copies/mL, respectively. 51{middle dot}4% of patients were classified as LP and 21{middle dot}6% patients were inside TCs. Most patients from subtype B (85{middle dot}6%) were in clusters, compared to subtypes A (5{middle dot}2%) and G (9{middle dot}2%). Phylogenetic analyses showed consistent clustering of MSM individuals. In subtype A, patients in TCs were more frequently MSM patients and with a recent infection. For subtype B, patients in TCs were more frequently those with older age ([&ge;] 56), MSM transmission route, originating from Western Europe, migrants, and with a recent infection. For subtype G, patients in TC were more frequently patients with recent infection and migrants. When analysing cluster size, we found that NLP more frequently belonged to large clusters (>8 patients) when compared to LP.  ConclusionWhile late presentation is still a threat to HIV-1 transmission, LP individuals are more present either outside or in small clusters, indicating a limited role of late presentation to HIV-1 transmission",medrxiv
